TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
0,1,1000,0.487,4,25.979,24.747,19.424,0.4998109,0.4010498,0.5056468,0.5114568,0.6556312,17.81779,0.4933513,0.5123802,7.354,16.818,
20,2,54,0.4444444,3.566277,2.260519,24.69111,18.63478,0.4389289,0.3523895,0.4806758,0.4407441,0.6672539,16.09443,0.4881766,0.4949828,7.324291,17.12611,
40,3,31,0.516129,3.605827,1.950427,21.48493,18.95333,0.4181507,0.3525496,0.5088385,0.4362713,0.6379098,16.45555,0.4574526,0.503772,6.822455,18.64583,
60,2,17,0.5882353,3.494849,1.793818,18.80512,18.22316,0.4416485,0.3261225,0.4361259,0.4371307,0.5880189,17.87181,0.4689704,0.5543945,7.9359,17.84123,
80,3,11,0.3636364,3.351634,1.783033,20.3662,18.42241,0.4221961,0.3452123,0.4892658,0.6000476,0.5580235,18.20937,0.520763,0.5209208,8.607827,15.6347,
100,3,8,0.375,3.201807,1.71206,16.22522,17.97011,0.4598517,0.3328901,0.4917021,0.5991489,0.53894,17.63295,0.5746591,0.5306234,10.26635,15.09886,
120,2,6,0.5,2.966708,1.816044,17.83823,16.39979,0.5016451,0.38369,0.4969437,0.3825609,0.5256606,19.51285,0.6077211,0.4580686,9.175215,18.32928,
140,2,5,0.4,2.97579,1.764908,14.48405,14.64173,0.4184985,0.5149687,0.5047566,0.2199322,0.5357184,20.97616,0.5726002,0.5082356,9.195747,21.40421,
160,2,5,0.4,2.97579,1.764908,14.48405,14.64173,0.4184985,0.5149687,0.5047566,0.2199322,0.5357184,20.97616,0.5726002,0.5082356,9.195747,21.40421,
180,2,5,0.4,2.97579,1.764908,14.48405,14.64173,0.4184985,0.5149687,0.5047566,0.2199322,0.5357184,20.97616,0.5726002,0.5082356,9.195747,21.40421,
200,2,5,0.4,2.97579,1.764908,14.48405,14.64173,0.4184985,0.5149687,0.5047566,0.2199322,0.5357184,20.97616,0.5726002,0.5082356,9.195747,21.40421,
220,2,5,0.4,2.97579,1.764908,14.48405,14.64173,0.4184985,0.5149687,0.5047566,0.2199322,0.5357184,20.97616,0.5726002,0.5082356,9.195747,21.40421,
240,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
260,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
280,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
300,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
320,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
340,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
360,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
380,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
400,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
420,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
440,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
460,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
480,2,4,0.5,2.995612,1.73857,9.700336,15.61296,0.4017723,0.4696506,0.4737089,0.2594283,0.579089,22.86655,0.5506003,0.5665861,10.61145,20.93369,
