TIME(S),GENERATION,COUNT,MALE%,SIZE,SPEED,V_RADIUS,V_ANGLE,VA_BOOST_LIKELIHOOD,VA_BOOST_STRENGTH,M_ENERGY_TO_OFFSPRING%,F_ENERGY_TO_OFFSPRING%,MTF_OFFSPRING%,M_DESIRABILITY%,F_STANDARDS%,F_GESTATION_PERIOD,MTV_DIG%,MATE_ENERGY_THRESH,BOREDOM_THRESH,EXPLOREMTP
0,1,1000,0.488,3.966,25.684,24.519,19.264,0,0.1085554,0.4939744,0.391897,0.4915057,0.4987465,0.6504092,17.42106,0.4969472,0.4932801,7.437,16.935,
20,2,55,0.7272727,3.64256,2.600768,22.83812,19.66181,0,0.1094229,0.3881446,0.3593701,0.4715488,0.3603266,0.6487567,15.6142,0.498551,0.4978833,8.159301,17.33125,
40,2,29,0.7931035,3.521046,2.256291,18.12237,20.19833,0,0.1116933,0.3404697,0.3797009,0.5217508,0.343925,0.6302735,15.88028,0.4840707,0.4955564,8.296367,17.56414,
60,2,15,0.8,3.590591,1.479603,16.78913,18.48026,0,0.1149251,0.3543505,0.3069394,0.4662835,0.3267659,0.6903376,15.7561,0.5127714,0.4266635,8.45671,17.37088,
80,3,13,0.7692308,3.616665,1.176517,15.56649,19.14814,0,0.1134525,0.3715504,0.3095048,0.5035846,0.3829302,0.7199778,15.82423,0.5249684,0.3670899,9.010985,16.96073,
100,3,13,0.8461539,3.480996,1.18085,15.62463,19.21881,0,0.1092626,0.3912303,0.3104194,0.5008962,0.3835599,0.7265567,15.84354,0.524443,0.3674434,9.227109,17.44032,
120,4,13,0.8461539,3.335961,1.187553,15.59717,19.47197,0,0.1097413,0.3755924,0.3106077,0.5261943,0.3938404,0.7384955,16.15478,0.5179383,0.3694674,9.45624,18.10605,
140,4,12,0.8333333,3.280625,1.203182,15.56361,20.17797,0,0.1107167,0.3864333,0.3219894,0.5511077,0.3834025,0.7713688,16.3233,0.4982668,0.3904338,9.74426,19.11489,
160,4,12,0.8333333,3.280625,1.203182,15.56361,20.17797,0,0.1107167,0.3864333,0.3219894,0.5511077,0.3834025,0.7713688,16.3233,0.4982668,0.3904338,9.74426,19.11489,
180,4,10,0.9,3.220972,1.233751,15.02358,20.24138,0,0.1042203,0.419294,0.332303,0.5526326,0.3957189,0.7659156,16.94719,0.5091464,0.4263499,10.5639,19.14524,
200,4,9,0.8888889,3.245525,1.259723,14.47064,20.82375,0,0.1027816,0.4323372,0.3187107,0.5456333,0.3954734,0.7699389,17.12719,0.5069191,0.4720129,10.29322,18.05027,
220,4,9,0.8888889,3.245525,1.259723,14.47064,20.82375,0,0.1027816,0.4323372,0.3187107,0.5456333,0.3954734,0.7699389,17.12719,0.5069191,0.4720129,10.29322,18.05027,
